Fold,Outcome,Method,AUROC,Sensitivity,Specificity,TPR_gap,TPR_gap_bin,TPR_gap_signed,Brier,AUROC_gap_Q,Spec_at_Sens80,Spec_at_Sens90,PR_AUC
3,SRH,GroupDRO,0.8938,0.8447,0.7846,0.1541,0.1122,0.1541,0.1254,0.0404,0.8249,0.6996,0.8277
4,EUROD,BASELINE,0.8272,0.7459,0.7418,0.1928,0.1444,0.1928,0.1378,0.0028,0.6797,0.5224,0.6633
4,EUROD,Reweighing,0.828,0.7073,0.7847,0.1672,0.1105,0.1672,0.1377,0.0126,0.6809,0.5259,0.6641
4,EUROD,DIR,0.8273,0.7532,0.7348,0.1817,0.1329,0.1817,0.1378,0.0122,0.6825,0.5211,0.6636
4,EUROD,LFR,0.5141,0.2685,0.7681,0.1956,0.1105,0.1956,0.3287,0.0157,0.1901,0.0901,0.2857
4,EUROD,CorrelationRemover,0.8261,0.7099,0.7761,0.2192,0.1468,0.2192,0.1382,0.011,0.6835,0.517,0.6626
4,EUROD,PrejudiceRemover,0.8162,0.7337,0.7443,0.0832,0.0531,0.0832,0.1433,0.0597,0.6674,0.4989,0.6379
4,EUROD,ExpGrad_DP,0.8083,0.6978,0.7692,0.1109,0.0645,-0.1109,0.1429,0.0019,0.6443,0.4611,0.6431
4,EUROD,ExpGrad_EO,0.8178,0.69,0.787,0.0327,0.0177,-0.0327,0.1402,0.0027,0.6527,0.4906,0.6549
4,EUROD,ExpGrad_TPR,0.8183,0.747,0.7331,0.0362,0.0177,-0.0362,0.14,0.002,0.6577,0.4893,0.655
4,EUROD,GridSearch_TPR,0.8269,0.7451,0.7479,0.151,0.1052,0.151,0.1381,0.0096,0.6859,0.518,0.6639
4,EUROD,GridSearch_EO,0.7547,0.6878,0.6864,0.0704,0.1097,-0.0704,0.1816,0.0667,0.5434,0.3576,0.5444
4,EUROD,AdvDebiasing,0.7748,0.6592,0.7529,0.1087,0.0497,0.1087,0.1778,0.0212,0.5814,0.3769,0.5974
4,EUROD,FairGBM,0.8274,0.7271,0.7654,0.1938,0.1422,0.1938,0.1379,0.0118,0.6794,0.5195,0.6611
4,EUROD,FairConstraints,0.8179,0.7249,0.7554,0.032,0.0393,-0.032,0.1409,0.0187,0.6587,0.5065,0.6497
4,EUROD,DecoupledClassifier,0.8146,0.6687,0.7932,0.2266,0.1532,0.2266,0.1427,0.0178,0.6663,0.4972,0.6455
4,EUROD,GerryFairClassifier,0.8272,0.4142,0.9411,0.212,0.1388,0.212,0.1378,0.0028,0.6797,0.5224,0.6633
4,EUROD,ThreshOpt_TPR,0.8272,0.491,0.913,0.0968,0.1168,0.0968,0.1378,0.0028,0.6797,0.5224,0.6633
4,EUROD,ThreshOpt_EO,0.8272,0.4969,0.9036,0.0659,0.0831,0.0659,0.1378,0.0028,0.6797,0.5224,0.6633
4,EUROD,ThreshOpt_DP,0.8272,0.4693,0.9175,0.0313,0.0037,-0.0313,0.1378,0.0028,0.6797,0.5224,0.6633
4,EUROD,EqOdds_PP,0.8272,0.7205,0.7292,0.1215,0.0729,0.1215,0.1378,0.0028,0.6797,0.5224,0.6633
4,EUROD,RejectOption,0.8272,0.6419,0.8351,0.0942,0.0339,0.0942,0.1378,0.0028,0.6797,0.5224,0.6633
4,EUROD,CTGAN,0.8267,0.7393,0.7557,0.2069,0.1517,0.2069,0.138,0.0074,0.6819,0.5255,0.6629
4,EUROD,FairSMOTE,0.8268,0.7326,0.7567,0.1862,0.131,0.1862,0.1377,0.0106,0.6817,0.5174,0.6642
4,EUROD,SampleReweighting,0.8246,0.7147,0.7696,0.232,0.1628,0.232,0.1385,0.0152,0.6699,0.5213,0.6603
4,EUROD,GroupCalibration,0.8241,0.7382,0.7516,0.2251,0.176,0.2251,0.1396,0.0028,0.6756,0.5163,0.6599
4,EUROD,JTT,0.6597,0.4293,0.8189,0.0598,0.0166,0.0598,0.1737,0.0244,0.3368,0.1867,0.5063
4,EUROD,GroupDRO,0.8273,0.6992,0.7919,0.2237,0.1569,0.2237,0.1377,0.0069,0.6817,0.5222,0.6647
4,LS,BASELINE,0.8054,0.7754,0.6762,0.28,0.2006,0.28,0.1555,0.0474,0.6457,0.4728,0.6525
4,LS,Reweighing,0.8052,0.7764,0.676,0.1546,0.0818,0.1546,0.1553,0.0467,0.6456,0.4707,0.6548
4,LS,DIR,0.8056,0.726,0.7351,0.2783,0.1788,0.2783,0.1552,0.0423,0.6507,0.4596,0.655
4,LS,LFR,0.5793,0.474,0.6481,0.2854,0.2358,0.2854,0.2108,0.0124,0.2777,0.1385,0.3707
4,LS,CorrelationRemover,0.8051,0.704,0.7478,0.2905,0.1915,0.2905,0.1554,0.0453,0.6449,0.4682,0.6552
4,LS,PrejudiceRemover,0.7979,0.7234,0.7198,0.2889,0.1894,0.2889,0.1579,0.0365,0.6322,0.4439,0.6455
4,LS,ExpGrad_DP,0.7578,0.7057,0.6831,0.1507,0.1148,-0.1507,0.1709,0.0519,0.5586,0.3474,0.5913
4,LS,ExpGrad_EO,0.7778,0.6456,0.7749,0.0327,0.0263,-0.0327,0.1647,0.0464,0.5958,0.3894,0.616
4,LS,ExpGrad_TPR,0.7795,0.6704,0.7565,0.0203,0.0165,-0.0203,0.1643,0.0503,0.5953,0.4043,0.6168
4,LS,GridSearch_TPR,0.7397,0.736,0.6128,0.0813,0.0704,0.0813,0.1807,0.0406,0.5315,0.3443,0.547
4,LS,GridSearch_EO,0.7198,0.5855,0.7394,0.1123,0.0922,0.1123,0.202,0.0289,0.4723,0.3119,0.5364
4,LS,AdvDebiasing,0.7498,0.6979,0.6637,0.1281,0.0617,0.1281,0.2024,0.0247,0.5358,0.356,0.5797
4,LS,FairGBM,0.8059,0.7764,0.6775,0.2048,0.1227,0.2048,0.1554,0.0472,0.647,0.4681,0.6513
4,LS,FairConstraints,0.7506,0.6679,0.696,0.0315,0.0632,-0.0315,0.1732,0.0245,0.5466,0.3381,0.5799
4,LS,DecoupledClassifier,0.7939,0.7648,0.66,0.2425,0.1528,0.2425,0.1599,0.0436,0.6147,0.4446,0.6367
4,LS,GerryFairClassifier,0.8054,0.4258,0.921,0.3059,0.1691,0.3059,0.1555,0.0474,0.6457,0.4728,0.6525
4,LS,ThreshOpt_TPR,0.8054,0.4281,0.9142,0.0207,0.0162,0.0207,0.1555,0.0474,0.6457,0.4728,0.6525
4,LS,ThreshOpt_EO,0.8054,0.3919,0.9165,0.033,0.0206,0.033,0.1555,0.0474,0.6457,0.4728,0.6525
4,LS,ThreshOpt_DP,0.8054,0.39,0.9199,0.1548,0.1071,-0.1548,0.1555,0.0474,0.6457,0.4728,0.6525
4,LS,EqOdds_PP,0.8054,0.6727,0.6895,0.0581,0.0112,0.0581,0.1555,0.0474,0.6457,0.4728,0.6525
4,LS,RejectOption,0.8054,0.6304,0.8096,0.024,0.0984,0.024,0.1555,0.0474,0.6457,0.4728,0.6525
4,LS,CTGAN,0.8064,0.6989,0.7573,0.3198,0.2128,0.3198,0.1549,0.0486,0.6496,0.4601,0.6558
4,LS,FairSMOTE,0.8048,0.7477,0.7104,0.2323,0.1466,0.2323,0.1556,0.0431,0.6398,0.4609,0.6532
4,LS,SampleReweighting,0.8035,0.717,0.7409,0.2985,0.201,0.2985,0.1558,0.0424,0.64,0.4598,0.6519
4,LS,GroupCalibration,0.8027,0.6859,0.7677,0.3506,0.2469,0.3506,0.1569,0.0474,0.6384,0.4595,0.6498
4,LS,JTT,0.5915,0.3102,0.8429,0.0015,0.0278,0.0015,0.2006,0.0252,0.2678,0.1588,0.4533
4,LS,GroupDRO,0.8062,0.6859,0.7709,0.3,0.1896,0.3,0.1552,0.0488,0.6463,0.4672,0.6539
4,CASP,BASELINE,0.8796,0.7763,0.8143,0.3006,0.2206,0.3006,0.1217,0.0137,0.7947,0.6185,0.7739
4,CASP,Reweighing,0.8785,0.8089,0.7789,0.188,0.1295,0.188,0.1227,0.0132,0.7911,0.635,0.7714
4,CASP,DIR,0.8794,0.7936,0.7945,0.2562,0.1871,0.2562,0.1221,0.0156,0.7877,0.6402,0.7738
4,CASP,LFR,0.5992,0.6933,0.4374,0.0141,0.0011,0.0141,0.2277,0.0169,0.3208,0.1775,0.3776
4,CASP,CorrelationRemover,0.8802,0.767,0.8228,0.2564,0.1975,0.2564,0.1221,0.0188,0.7924,0.6395,0.7739
4,CASP,PrejudiceRemover,0.8743,0.762,0.8173,0.25,0.1793,0.25,0.1244,0.0091,0.7787,0.6299,0.7656
