Outcome,Method,Category,TPR_gap_mean,TPR_gap_SD,TPR_gap_95CI,AUROC_mean,AUROC_SD,AUROC_95CI,Brier_mean,Sign_k_N,Pct_Reduction,AUROC_gap_Q
LS,DecoupledClassifier,In-processing,0.2959,0.0369,0.0459,0.7935,0.0051,0.0064,0.1602,2/5,1.7,0.0284
LS,FairGBM,In-processing,0.2654,0.0395,0.0491,0.804,0.0045,0.0055,0.1561,4/5,11.9,0.0277
LS,RejectOption,Post-processing,0.0732,0.033,0.041,0.8049,0.0054,0.0067,0.1558,5/5,75.7,0.0331
LS,LFR,Pre-processing,0.102,0.111,0.1378,0.5585,0.0413,0.0513,0.2396,4/5,66.1,0.0235
LS,CTGAN,Augmentation,0.3064,0.0316,0.0393,0.8051,0.0043,0.0054,0.1558,2/5,-1.8,0.0346
CASP,GridSearch_TPR,In-processing,0.1055,0.1095,0.136,0.8394,0.0273,0.0339,0.144,5/5,62.3,0.0277
CASP,AdvDebiasing,In-processing,0.1099,0.0592,0.0735,0.8463,0.006,0.0075,0.1567,5/5,60.8,0.0224
CASP,EqOdds_PP,Post-processing,0.06,0.0312,0.0387,0.883,0.0029,0.0037,0.1202,5/5,78.6,0.0168
CASP,SampleReweighting,Pre-processing,0.28,0.0293,0.0364,0.8805,0.0035,0.0043,0.1214,1/5,0.1,0.0183
CASP,JTT,In-processing,0.1488,0.043,0.0534,0.8386,0.0067,0.0083,0.1529,5/5,46.9,0.0103
CASP,DIR,Pre-processing,0.2463,0.0102,0.0127,0.8828,0.0029,0.0036,0.1203,5/5,12.1,0.0135
CASP,ThreshOpt_EO,Post-processing,0.0341,0.0226,0.0281,0.883,0.0029,0.0037,0.1202,5/5,87.8,0.0168
CASP,CorrelationRemover,Pre-processing,0.2436,0.0296,0.0368,0.8828,0.0026,0.0032,0.1205,5/5,13.1,0.0153
CASP,ExpGrad_TPR,In-processing,0.0209,0.0097,0.0121,0.8629,0.0045,0.0056,0.1296,5/5,92.5,0.0243
CASP,Reweighing,Pre-processing,0.1769,0.0317,0.0394,0.8821,0.0032,0.004,0.1208,5/5,36.9,0.0147
CASP,FairConstraints,In-processing,0.0693,0.0463,0.0575,0.8247,0.0087,0.0108,0.1454,5/5,75.3,0.0411
CASP,ThreshOpt_TPR,Post-processing,0.0372,0.0175,0.0217,0.883,0.0029,0.0037,0.1202,5/5,86.7,0.0168
CASP,GerryFairClassifier,In-processing,0.2736,0.03,0.0372,0.883,0.0029,0.0037,0.1202,3/5,2.3,0.0168
