Outcome,Method,Category,Usable,Harmful,Weak,Deployable,Requires_A,AUROC_Comparable
SRH,CorrelationRemover,Pre-processing,✓,✗,✗,✗,✓,✓
SRH,ExpGrad_TPR,In-processing,✓,✗,✗,✓,✗,✓
SRH,Reweighing,Pre-processing,✓,✗,✗,✓,✗,✓
SRH,FairConstraints,In-processing,✓,✗,✗,✓,✗,✓
SRH,ThreshOpt_TPR,Post-processing,✓,✗,✗,✗,✓,✗
SRH,BASELINE,Baseline,✓,✗,✗,✓,✗,✓
SRH,GerryFairClassifier,In-processing,✓,✗,✗,✗,✓,✗
SRH,GroupCalibration,Post-processing,✓,✗,✗,✗,✓,✓
SRH,ExpGrad_EO,In-processing,✓,✗,✗,✓,✗,✓
SRH,ThreshOpt_DP,Post-processing,✓,✗,✗,✗,✓,✗
SRH,GridSearch_EO,In-processing,✓,✗,✗,✓,✗,✓
SRH,GroupDRO,In-processing,✓,✗,✗,✓,✗,✓
SRH,FairSMOTE,Augmentation,✓,✗,✗,✓,✗,✓
SRH,ExpGrad_DP,In-processing,✓,✗,✗,✓,✗,✓
SRH,PrejudiceRemover,In-processing,✓,✗,✗,✗,✓,✓
SRH,DecoupledClassifier,In-processing,✓,✗,✗,✗,✓,✓
SRH,FairGBM,In-processing,✓,✗,✗,✓,✗,✓
SRH,RejectOption,Post-processing,✓,✗,✗,✗,✓,✗
SRH,LFR,Pre-processing,✓,✗,✗,✗,✓,✓
SRH,CTGAN,Augmentation,✓,✗,✗,✓,✗,✓
